ID	Descr
317	This academic course offers an intensive travelstudy experience to a biological field station or region of special biological interest. The travel permits in-depth study of a unique biological system, going beyond what is possible in a classroom or in shorter field trips near the Siena campus. Lectures, supervised research into aspects of the course, and orientation meetings will prepare students for an informed travel experience. This course may be offered alone, or may require co-registration in a related Biology course. Topics, credits, and any coregistration requirements will be announced during pre-registration in the preceding semester. May only fulfill the requirement for upper-level electives in Biology when offered for 3 credits. May be taken more than once with different content. Travel costs paid by the student; cost varies each semester. Permission of instructor required. Prerequisites: BIOL-110 and 120; or BIOL-110 and 140; or BIOL-170 and180; Biol-190. Additional pre-requisites and/or fees may be added at the discretion of the instructor.
318	This course examines all aspects of writing and reporting nonfiction feature reports for various media platforms. Student projects include human interest stories and profile pieces. Topics addressed include Associated Press Style, literary journalism, researching source material, interviewing subjects, and audio/visual storytelling techniques. Students shoot and edit video using HD cameras
319	This course provides an in depth review of essential principles of pathophysiology necessary to anticipate, minimize and treat the complications associated with disease. Pharmacological concepts are examined by system and provide a foundation for understanding the pathophysiology of disease and the rationale for treatment. Pathophysiology focuses on underlying disease process and the body's amazing ability to compensate for these changes. A conceptual approach is used to illustrate pathophysiological concepts through carefully selected diagnoses. Through use of case studies, students are actively learning to recognize signs, symptoms and etiology of disease processes and use clinical decision making to connect pathophysiologic concepts to predict functional changes in the body and corresponding pharmacological interventions. Prerequisite: NURS-300.
320	Critical exploration of roles and techniques used by the individuals, publics, NGOs, governments and the corporate sector to further sustainable development in rural areas of developed and developing countries. This course may include required travel abroad depending on
321	Lecture and laboratory covering the general principles of physiology with emphasis on human physiology. Topics covered include homeostasis, complementarity of structure and function, and the physiology of selected organ systems. Required course for Psychology majors. Not open to Biology majors. Lab Fee.
322	This course includes a study of mathematical structures most frequently encountered in Computer Science. Topics covered include sets, functions, mathematical induction, complexity analysis of algorithms, counting methods including probability, recurrence relations, graphs, trees, Boolean logic, and relations. Proofs using mathematical induction will be emphasized. Other proof techniques will be developed. Three hours of lecture and 80 minutes of lab each week. Lab fee. Offered Fall Semester. Cross-listed as MATH-250.
323	Early American Books and Maps (1500-1820) examines the parallels between the origins and developments of the American Literary traditions and the new techniques in cartography, the art and science of map and chart making, both which reflected the period of European expansion through the establishment of the Early American Republic. Prerequistes: ENGL 011 or 101 or 090 ATTR: ARTS, AMSC, ASLT, LTAM, LTBA, LTTP, NOEX
324	This course is an overview of the major institutions and processes of the American political system. Both formal (i.e., Congress, the Presidency, and the Judiciary), and the informal (e.g., political parties, interest groups, the media, etc.) institutions will be covered. It is designed to help the students not only acquire a basic knowledge of American government, but also develop the ability to
325	This course examines health care systems, their policies and outcomes throughout the developed world. The delivery of care, organizational structure, the impact of political and economic characteristics as well as health outcomes within populations provide the framework within which health systems are analyzed. In addition, the impact of health care policies on the larger society as well as emerging trends and problems are explored.
326	A general survey of the uniform commercial code. Sales: passing of title, risk of loss, financing and security interests, bailments, and carriers. Commercial Paper: negotiation and assignment, holders in due course, defenses, banks, debtor-creditor, and bankruptcy. Property: real and
327	This course surveys the cultures and societies of a specified region of the world (Asia, South Asia, Africa, The Middle East, South America, The Caribbean, Australasia, etc.). It covers the major institutional sectors (such as family, education, religion, politics, etc.) and social processes (such as urbanization and economic development). It also examines internal and external forces of social change in these societies. May be taken more than once with different content.
328	The course will provide a basic background in chemical principles and processes in the context of their role in environmental issues. Topics to be discussed include ozone depletion, acid rain, global warming, and general uses and misuses of our natural resources. The goal of the course is to enable students as informed consumers to critically evaluate scientific issues which have a crucial impact on our world. Not open to Biology or Chemistry
329	This course explores theories and concepts necessary to conduct media and communication research, including an examination of qualitative and quantitative methods. ATTR: ARTS
330	This course introduces mathematical background needed for the core data analysis methods of dimension reduction, data visualization, classification and clustering. This is not primarily a course in statistics, as it approaches data problems via linear algebraic methods such as Principal Component Analysis (visualization and dimension reduction), Fisher Linear Discriminant Analysis (classification), and K-means (clustering). Case studies will provide an immersive student experience analyzing high-dimensional data
331	A qualified student may pursue a particular topic in Religious Studies by means of independent research, an extensive paper, and periodic discussions with a member of the department. The student must have the approval of the instructor and the Department.
332	An introductory level studio course covering the practice, history, and theory of drawing. Students will use a variety of media and techniques to study still-life, landscape, and the human form. Students will inquire into the purpose of drawing and analyse the historical and contemporary uses of the media. Emphasis will be placed on the creative application of the media. Studio Fee.
333	The student is introduced to the functions and competencies within project management. The course focuses on providing students with a solid understanding of the competencies and phases of managing projects as well as the key challenges that organizations and leaders face in successfully managing projects. Topics include project integration, project scope management, time and cost management, quality management, human resource planning, risk management, communications, change management and procurement management.
334	An introduction to the social aspects of environmental problems and solutions. It examines the ways in which social institutions and lifestyles lead to environmental deterioration. It also looks at the consequences of environmental decay for human health and well-being. It examines efforts to preserve the natural environment through the Environmental Movement, drives to save particular ecosystems, and changes in thinking about environmental issues. (Same as SOCI-160.) .
335	This course is a continuation of BIOL-110. Emphasis is on the deversity of living organisms including morphology, phylogeny, physiology, and ecology of major taxa. Lab work includes experiments designed to illustrate basic biological concepts. Emphasis is on the diversity of life. This course intended primarily for School of Science majors. Lab fee.
336	This course examines the management of organizations that deliver healthcare services such as hospitals, nursing homes, multi-specialty clinics and home healthcare agencies. Students will analyze the organization, functions, roles and performance measures for effective planning and decision-making by today's healthcare managers in the context of the U.S. healthcare delivery system and current healthcare delivery programs. Students will examine principles of effective management including organizational design, motivation, leadership, conflict management, teamwork and strategic alliances for dealing with emerging issues in the healthcare industry and relating to the delivery of effective, patient-centered care. Current events and case studies will be used to illustrate how managers use available information and data to improve the quality of organizational decisions
337	A survey course designed to introduce students to the crosscultural and global economic issues that have an impact on doing business. Through projects and case studies, students will explore the impact of cultural and economic differences
338	This course is intended to enhance a student's command of English vocabulary and expression. It has been estimated that over 60% of our words derive ultimately from Latin or Greek. This study will explore the etymology and evolution of English word roots derived from the classical languages. We will also study the etymology of the basic vocabulary used in the arts, politics, medicine, law and the sciences. The course is also intended to enhance a student's performance in the verbal sections of pre-professional and graduate exams, such as the GRE exam.
339	This course consists of selected case studies to be presented in class by student teams. The objective is to encourage the students to develop the ability to identify problems, and through applying the tools of finance, evaluate alternatives and arrive at viable solutions to the
340	This course examines the origins and historical development of Christianity, including its contemporary, global diversity. It will not adopt the perspective of any one Christian tradition, but will include a variety of perspectives, from within Roman Catholic, Eastern Orthodox, Protestant, and dissenting traditions. The course explores major issues and movements within Christianity that have been important in the development of western intellectual, cultural, and religious traditions. These may include sin and redemption, the imitation of Christ, worship and devotion, colonialism and the spread of Christianity, and the Church and secular society in America.
341	Introduction to the fundamental concepts of mathematical analysis. A two-term course that studies the real number systems, limits, sequences, series, convergence, uniform convergence, functions of one variable, continuity differentiability, Riemann integration, functions of several variables, line, surface, and volume integrals, Offered
342	A basic introduction to reporting and writing the news for broadcast, both radio and television. Students learn what constitutes news, how to develop news stories and the basic audio and video elements required in broadcast issues in broadcast journalism and major developments in
343	The course will emphasize concepts and principles that enable the student to understand the philosophy and environment of auditing and assurance services. It is an overview of the public accounting profession and the Generally Accepted Auditing Standards utilized by the profession in reporting on the financial statements of
344	A study of Spanish literature from the Generation of '98 to the contemporary period.
345	An introductory level studio course covering the practice, history, and theory of painting. The use of the brush, color theory, and the depiction of space will be explored through the observational study of a variety of subjects. Students will inquire into the purpose of painting and analyse the historical and contemporary uses of the media. Emphasis will be placed on the creative application of the media. Prerequisite: CREA-200 or permission of the instructor. Studio fee.
346	A survey of European history between roughly 1350 and 1500, with special emphasis on cultural change and on Italy.
347	The course introduces students to the creative process of doing mathematics and the language and style of precise mathematical communication. We do this by investigating logic, set theory and mathematical proof. The main emphasis of the course is on composing logically correct mathematical arguments and communicating those arguments through oral and written presentations.
348	An investigatin of the biblical, historical, psychological, and sociological roots of liturgy emphasizing the place of ritual in human and Christian personal development. ATTR: ( ARTS, CAR, CFH, RSRT)
349	A study of the relationship of religion and globalization in both their historical and contemporary manifestations. The course will focus on the development of New Religious Movements as global phenomena, the rise of ""Fundamentalist"" movements as a response to global and modern developments, and the Franciscan Tradition as a Christian encounter with RSWR)
350	A student research oriented course requiring a substantial paper based on direct investigation of primary sources. Papers will be critiqued by members of the class. Additional, shorter writing assignments may also be required. Topic will vary with instructor. Open only to History and History
351	This course explores the religious and theological dimensions of liberation theology. Attention will be focused on the claims about God's activity, human nature, and the Christian life made by the advocates of liberation. Recent texts by Black. feminist, gay, and Latin American theologians will form the context for class discussions.
352	A survey of communications law including libel, privacy, confidentiality, and access to information as these issues pertain to broadcast journalists. This course also covers key ethical issues faced by broadcast journalists including finding facts through a variety of sources; dealing with conflict of interest and avoiding harm.
353	Critical analysis of the social construction of gender and its intersections with other relations of power, such as race, class, and sexuality. Examining issues of gender and
354	This course builds on the knowledge base contained in previous courses taken by actuarial students. The goal is to reinforce understanding of the fundamental concepts of financial mathematics, and how those concepts are applied in calculating present and accumulated values for various streams of cash flows as a basis for future use. Students will review basic financial instruments and expand their knowledge base to more modern financial analysis using yield curves, spot rates and immunization. Finally, students will be introduced to the concept of risk management and understand how principles such as derivatives, forwards, futures, short and long positions, call and put options, spreads, collars, hedging, arbitrage, and swaps affect a
355	This course is a broad introduction to a variety of fundamental topics in computer science through a contemporary theme such as robotics, the web, graphics, or gaming. Students will consider problems in the application area that can be solved with software. Using the theme of the course, students will be introduced to important areas of computer science including abstraction, computer organization, representation of information, history of computing, ethics, and the development and evaluation of algorithmic solutions using an appropriate programming environment. Themes may differ across
356	Applied Project Management is an elective course for student choosing to major or minor in the Management discipline and is a required course for students seeking to earn a Business concentration in Project Management. The course also serves as a capstone for Management majors choosing to specialize in Project Management. Students apply management techniques and strategies required for successful planning, coordination, implementation, and evaluation of projects. This course integrates practical/experiential work with academic work to provide students the opportunity to develop proficiency in project management competencies.
357	Theatre Production is designed for students who wish to work on the theatre program's live theatre production each semester. Once a student has accepted a role as an actor, designer, technician, or manager they can enroll for 0, 1, 2 or 3 credits depending on the size and scope of their responsibilities. The production class is the heart of the program where theory becomes high impact practice and culminates in several performances with a live audience. It can be repeated. Permission of Instructor is required.
358	This two-hour lab provides students with knowledge of the definition of child abuse, maltreatment and neglect according to NYS Family Court and Social Services Law, and explores the legal and ethical implications of the law for practitioners.
359	Students are acquainted with the process of actor training character development through workshop, discussion, and attendance at professional and academic productions. Laboratory sessions are devoted to the preparation of scenes, exploration of the actor's body and voice, and an examination of the student's ability to feel, to communicate, and to imagine. This course is designed for students with no previous acting experience or those with some experience, but no training. A field to a professional
360	Student teams will work on semester-long projects under the guidance of the instructor. Students will study data related problems and various concepts, techniques and technologies for tackling the problems. Class time will be used to organize teams, coordinate schedules, develop work plans, and present team progress reports. Presentations will be made by faculty members and industry professionals engaged in data-related problems. The project teams will comprise students with different levels of expertise. Students minoring in Data Science will be grouped with student majoring in Data Science. Students will tackle data problems from either real clients (internal and external) or from instructor-developed problems similar to those found in the professional workplace. A goal of the course is to help students integrate the knowledge and skills they acquired in previous courses and demonstrate their ability to work together to develop practical solutions to realistic data problems.
361	Some of an organization's most valuable assets are the brands that it has invested in and developed over time. In this course, students take a customer-centric approach to explore brand management with the goal of identifying the ingredients for building and managing inspired brands. The course focuses on improving student's marketing skills and understanding of specific marketing topics, as well as ""big picture"" issues of how various aspects of marketing ""fit together,"" all from a brand equity perspective. Prerequisite: MRKT 550
362	A study of Hinduism in its specific cultural and historical settings, paying considerable attention to diverse Hindu texts and practices from the ""east"" and the ""west."" Explores Hindu iconographies, narratives, spaces and ways of worship. Introduces interpretive strategies from comparative, feminist, social, and
363	Much of the mathematics which impinges on everyday life is of the finite variety. This course will introduce students to topics from Number Theory, Combinatorics, Complexity Theory, Difference Equations, Game Theory, Geometry, Graph Theory, Information Theory, Group Theory, Logic, Probability and Simple Descriptive Statistics, and Set Theory. Preference will be given to topics which convey to the student the prevalence of finite mathematics in modern society, with applications which are accessible to student experimentation Primarily intended for Liberal Arts and Business
364	An in-depth study of the principles and objectives of the techniques and theories used in managerial accounting. Topics such as capital budgeting; variance analysis; cost allocation; management control systems and quantitative techniques for planning and control will be discussed. Lab 
365	This academically oriented course will be taught in German and consists of coursework followed by an intensive travel study component in a selected Germanic-speaking country. Orientation meetings, research, lectures and discussions will prepare students for an informed field experience. Upon return, students present a project/research paper and portfolio based on their cultural, historical, socio-economic knowledge acquired abroad. Students may repeat this course for credit if subject matter differs. Travel costs are paid in full by students. The cost varies each semester. This course will fulfill a language requirement and count toward a minor in German. Permission of instructor is required.
366	This course will explore the changing intellectual, economic, institutional and cultural relationships that have characterized medicine in world history from antiquity to the present. We will consider the education of practitioners, the locations of healing, the availability of treatment, and the expectations that people had of medicine as ideas about the body and illnness shifted radically with new discoveries and theories about health and disease. We will study the evolution of public health and examine the social responses to epidemic disease. Students will learn about the role of general social and cultural trends (industrialization, technology) in shaping medical practice and the medical professions.
367	Visiting executives will discuss their companies' goals and objectives and how their functional tactics and control methods support their strategies. The course content will integrate the functional areas of business as influenced by global competition and rapid technological change while optimizing the contribution of managers and employees. Open to seniors in the School of Business or by permission of instructor. 
368	A survey of the social, cultural, and political developments of the Ancient Greeks, beginning with the MinoanMycenaean and continuing from the Homeric through the
369	This course will use an area of research, theory or practice to apply and extend basic principles of Computer Science. The course may be taken more than once with
370	A student may earn 3-8 credits by serving as an intern in a foreign country. Placements are available for students from each school. The nature of the internship will determine which division will allocate credit. Typical opportunities include work in parliaments, law offices, theatres, museums, non-profit organizations, banking, hospitals and businesses. Students will work from 10 to 32 hrs. a week, depending on the program selected. The internship will involve a sizeable research project linked to the work undertaken. The GPA requirement is 2.75. Students who wish this internship to be counted as an equivalent to an internship in a department, must receive advance permission from the head of that department.
371	Electronics is at the heart of much of modern society. This course is an in-depth exploration of analog circuits, including series and parallel resistor networks, diodes, transistors as switches and amplifiers, and operational amplifiers with comparators and amplifier applications. It uses MATLAB and Simulink to facilitate circuit design and to select and simulate circuit test point values. The laboratory component of the course develops competence with multimeters, protoboards, function generators, and oscilloscopes with the goal of predicting and troubleshooting circuit kits which use the components studied in class. Finally, projects with microcontrollers provide an introduction to digital circuit topics. Three hours of lecture and three hours of lab per week. Lab fee. Prerequisite(s): PHYS 120 or PHYS 140
372	This course introduces students to the history, practices, and principles of print and digital design. A variety of design projects from logos to websites focusing on composition, color theory, and typography provide students with the skills needed to communicate an idea using imagery and text effectively. With each project, we will improve our visual literacy by exploring the function of a fundamental design element through digital practices using essential software programs in the Adobe Creative Suite. Throughout the semester, students will develop a strong understanding of design theory and acquire the tools to explore their options within the field of visual art and design. Prerequisite: CREA-102 or CREA-112 or CREA-200, or permission of the instructor. Studio fee.
373	Forensic accounting differs significantly from both traditional accounting and auditing. Traditional accounting primarily focuses on recording financial transactions in accordance with Generally Accepted Accounting Principles. The objective of most audits is to offer an opinion on the reasonable presentation of financial statements. Forensic accounting involves the application of traditional expertise in accounting, auditing and finance, coupled with the knowledge of investigative techniques, and communication skills. The Forensic Accountant must be well versed in fraud schemes, rules of evidence and the valuation of assets and liabilities. Forensic Accountants combine their knowledge and skills in litigation support and investigative accounting settings. This course is divided into six (6) overlapping areas relevant to forensic accounting. These are: 1) Communications (verbal & written); 2) Investigative Techniques; 3) Fraud Schemes; 4) Fraud Prevention; 5) Economic Damages & Valuations; and 6) Digital Forensics. Specific areas of study within Communications include; Interviewing, Report Writing, Flow Charts, Expert Witness Preparation, and Graphic Analysis.
374	A wide variety of problems from business may be solved using equations. Managers and economists use equations and their graphs to study costs, sales, national consumption supply and demand, market equilibrium points, and optimum production levels. This course will develop the algebra skills and graphing skills needed to be able to successfully solve these business applications.
375	Lecture and accompanying lab focused on the structure and function of the human body. Emphasis will be on metabolism, homeostasis, reproduction, and major organ systems. Designed
376	This course explores the interactions between individuals and systems in which they live and work. Students will learn how the dynamics of communication, decision making, motivation, teamwork, leadership, and culture influence the strategies, structures, processes and interactions that take place in organizations. The class will focus on generating innovative solutions in dynamic environments, evaluating the impact of actions on stakeholders and the environment, working collaboratively, building leadership capacity throughout organizations, and the importance of personal growth.
377	This seminar aims to introduce history students to both the methods and philosophical problems of history. The seminar will first consider a historical issue or a school of historical writing or the works of an eminent historian. It will then consider the philosophy of history and the questions historians have asked about their discipline.
378	The Financial Management course examines how firms create value, manage risk and measure performance. Students will learn how to evaluate financial information and make value-creating decisions and determine how environmental, social and governance (ESG) factors impact firm value. Topics include financial analysis and planning, risk-return relationships, cash flow, and working capital management as well as investment priorities, capital structure, valuation techniques, and capital budgeting applications.
379	This course offers three semester hours credit and explores political, economic, socio-cultural, and structural factors that create, encourage, and manage the transnational movement of populations worldwide. In particular, this seminar emphasizes an analysis of both the positive and negative implications of population movements on refugee sending and receiving countries. It also examines the impact of migration on marginalized and poor communities both in the industrialized and the developing world.
380	Study or research on an advanced mathematics topic under the tutelage of a qualified faculty member. May be taken more than one semester. Permission of faculty mentor and department head required for registration.
381	Lecture and laboratory address the application and theory of various analytical methods including gravimetric, electrochemical, and spectrophotometric analysis, chromatography and statistical treatment of data and error analysis. Two hours of lecture and four hours of laboratory each week.
382	The course examines the underlying causes for the origins and propagation of the Great Recession of 2007. Though the primary trigger for the recession was the subprime mortgage crisis, but its origin can be traced to lax monetary policies, the ""saving glut"", deregulation, securitization, the widespread use of derivatives, and income and wealth polarization. In response to the crisis, various monetary and fiscal policy steps have been taken. The purpose of this course is to develop analytical tools to understand the crises and policies henceforth from mainstream and heterodox perspective. In the process we will focus on understanding how money, the banking system, and the financial markets interact and affect the economy. We will also look at past financial crises in the United States and elsewhere in the world to compare and contrast the Great Recession of 2007.
383	By the mid-1st Century BCE, Rome had become the most powerful military and political force in the ancient world. At that time, Roman territory stretched from Spain in the west to lands bordering ancient Mesopotamia in the east. This empire had been won by Rome while under a republican form of government that had existed for over 400 years. However, at the very point at which Roman power reached its zenith, its republican government collapsed, giving way to rule by Rome's first emperor, Augustus. In this course, we will study in detail the political and social conditions prevailed during this pivotal era in which Rome was transformed from a republic to a principate. In addition, we will study the literature, art, and architecture of the Augustan Age. A variety of resources will be including primary and secondary sources, together with slide presentations.
384	Internships in philosophy, which are open to all majors, can be taken as early as one's sophomore year. Students will work with local organizations that stress philosophical components such as environmental and social justice, aesthetic well-being, freedom and its limits, and questions relating philosophy to the sciences in their mission or practice. Internships typically combine traditional academic work with onsite field experience to enable students to increase their understanding of and ability to implement theoretical notions and views. Interested students should submit an application to the department during the semester preceding the proposed placement; applicants will be screened and accepted based on academic record and readiness to function effectively in the field. For philosophy majors and minors, no more than 6 Internship credits may count towards satisfaction of the major or minor requirements; this course may be taken more than once with the permission of the Internship Supervisor. Prerequisites: PHIL-101 or PHIL-103.
385	A survey of the history, development and structure of the religious traditions of Buddhism including the Theravada, Mahayana, Tibetan and Zen traditions. The religious experience of Buddhists and its impact on the cultures of India, Central Asia, China and Japan are examined. In addition attention is paid to the growing presence of Buddhism in Europe and the United States.
386	A qualified student, with the approval of a faculty mentor and the department, may work under close supervision to join a research project conducted by a faculty member. Participating in research will include activities such as the following: conducting extensive library research, providing annotated summaries, attending local colloquia, reviewing manuscripts. Students will be required to keep a log of their activities and to prepare a narrative report upon completion of the semester. This course can be taken only on a pass/fail basis.
387	The study of Late Antiquity will investigate the fundamental period of transition from the classical to medieval world as it was experienced across the Mediterranean. Spanning the crises of the Late Roman Empire to its disintegration, it will encompass diverse areas of inquiry: the establishment of Christianity with the Roman Empire; the barbarian migrations and the ensuing destabilization of the Roman Empire in the west , the emergence of the papacy and the rise of the Frankish king, Charlemagne as a new emperor; the continuity of the Roman Empire in the east through the successors of Augustus who ruled the ""Byzantine"" Empire from Constantinople; the emergence of the Islamic caliphate and the founding of Bagdad. Same as Hist 337.
388	A study of the person and work of Jesus in light of recent historical research and theological reflection. Students will explore a variety of scholars' answers, and formulate answers themselves, to questions such as: What methods are best suited to studying the person and work of Jesus? Who was Jesus? What did he do? What was his main message? With whom did he associate and why? With whom was he in conflict and why? What is the significance of his life, death, and resurrection? How is he related to God? How is related to his followers?
389	This course is designed to explore areas and topics not treated in the traditional history course offerings. The area or theme will be studies in depth and emphasis will be on discussion. The subject will be announced before the semester in which the colloquium is to be given. An additional fee may be required, depending on the topic offered. May be taken more than once with different topics.
390	This course offers an overview of the art of Europe from the beginnings of Christianity to the Renaissance, a span of over thirteen centuries of dynamic cultural change. In the predominantly illiterate Medieval cultures, visual art was used to establish and communicate the evolving religious and political values. Students will study the works of art and architecture for which the Middle Ages is justly renowned: illuminated manuscripts, sculpture and architecture.
391	This course will be taught with varying subject content in the field of Finance at an intermediate level. Prerequisite course may be required. The particular content will be indicated by subtitle. It may be taken more for credit multiple times for different topics.
392	This course focuses on knowledge, skills, values and ethics competencies in social work practice with treatment and task groups. Cultural competence is emphasized in working with group members of diverse backgrounds as well as strategies for the promotion of social justice through groups.
393	A thorough review of the structures of Arabic, supplemented by selective readings. The audio lingual aspect of the language is further developed, and the ability to read with understanding is increased. Further cultural study. This course is for students who have completed the equivalent of two semesters of college Arabic.
394	The development of quantum mechanics and special relativity in the early part of the 20th century revolutionized how humanity viewed reality. Quantum mechanics threw out the determinism that had guided the previous 2000 years of scientific thought in favor of a statistical interpretation of nature which called into question what it even means to make a measurement. This course develops the mathematical foundations underpinning quantum theories and shows how these lead to counterintuitive yet testable predictions which are validated by countless precision measurements. The course covers a broad range of topics, including the basic postulates of the quantum mechanics;wave-particle duality Heisenberg uncertainty principle;the Schrodinger equation and its solution for one-dimensional systems;the hydrogen atom; and perturbation theory.Four hours of lecture per week ARTS,PHYS
395	A survey of world theatre, from its origins to the 21st Century. This course focuses on diverse world views and functions of performance as seen in the theatre of various cultures and historical periods. Areas of study include the occasions, social contexts, styles, and locations of theatrical performance; methods of production; and critical perspectives. The course is designed for students with no theatre experience as well as those already acquainted with the stage. A field trip to a professional production is required.
396	This course provides a hand-on, project-based (Same as PHYS 390) Bang). (Same as PHYS 392)
397	This course provides a more in depth discussion of the taxation of entities other than individuals. Topics include the taxation of Subchapter C or 'regular' corporations and the tax effects of transactions with shareholders: from organization, to operation, to termination or liquidation. Similar tax provisions relating to Subchapter S corporations and partnerships are also covered and compared and contrasted with those of Subchapter C corporations. An introduction to multistate taxation will be made with an emphasis on the taxation of entities in New York State. Coverage of federal gift and estate tax provisions will be incorporated as well. Building on the research skills acquired in the undergraduate taxation course students will research, analyze and communicate conclusions about issues
398	This course addresses the conventions and style of all forms of communications in chemistry: scientific writing, oral presentations, presentation of data in tables and figures. This course meets onehour each week.
399	This is an elective Accounting Topics course in the MBA program. This course involves the application of expertise in accounting, auditing and finance, coupled with the knowledge of investigative techniques and communication skills. The Forensic Accountant must be well versed in fraud schemes, rules of evidence and the valuation of assets and liabilities. Forensic Accountants combine their knowledge and skills in litigation support and investigative accounting settings.
400	The historical origins of Islam, the emergence and development of various strands of religious tradition, and their impact on the modern world. Analysis and historical survey of such key concepts as tawhid (essence of Islam), and of its basic categories for religious life, theology, law, literature, philosophy, and science. In addition attention is paid to the growing presence of Islam in Europe and America.
401	This course is an historical survey of American literature from the pre-colonial period through the twenty-first century. Covering a broad range of significant American authors, the course will examine writers within an historical and cultural context.
402	This is an applied course on current technologies used for predictive analytics with an emphasis on applications in business. The course is based on case studies that incorporate typical challenges encountered in applications: Large transactional data sets with mixed types of variables (e.g., qualitative and quantitative), missing data, lurking variables, confounded predictors and uncontrolled variation. The emphasis of the course is on effective use of the methods, interpretation of results, and recognition of potential pitfalls in their use. The role of effective data visualization is emphasized throughout the course. (Same as MACC 545)
403	A study of several major Shakespearean plays. The works will be analyzed against the background of Shakespeare's life and times.
404	A study of the aesthetics and mechanics of designing lighting and sound for the stage. Students will utilize design, drafting and presentation skills developed in class to create lighting cues, lighting plots, electrician schedules, sound plots, sound cues and sound recordings based on the interpretatin of a theatrical script. Students will have the opportunity to explore the principles of lighting in a lighting laboratory using current technology. Students will also use current sound technology to record, construct and manipulate sound effects. This course is designed for students with no theatre experienceas well as those already acquainted with the stage. A field trip to a
405	An analysis of sociological thought with an emphasis on those theorists and concepts that have great impact on modern sociological theory and research. 
406	This fundamental course explores the multitude of ways that digital applications are used in the field of art and design. Essential software programs in the Adobe Creative Suite will be introduced as students build familiarity with the use of line, shape, texture and color in order to create designs that build a sense of space, time, and motion. Projects such as photo collage, pattern design, and character animation will help students develop familiarity with concepts of harmony, scale and proportion, and contrast and emphasis. Knowledge of these tools and how they work will help students better understand art and design aesthetics for 2D mediums such as screen based and print media as well as photography, film, and animation. Studio fee. applications for the World Wide Web. Lab fee. Computer use fee.
407	Geographic Information Systems (GIS) is a tool for viewing and analyzing spatial information. In this course, students will learn GIS fundamentals through applied projects that explore environmental issues. Topics include delineating watersheds and river networks, plotting GPS data, analyzing land-use trends over time, tracking weather systems, classifying remote sensing data, and mapping ecosystem patch structure and dynamics. Emphasis is placed on gaining hands-on experience using the ESRI ArcGIS and Google mapping environments. Students will complete an individual research project and share their research in a
408	A study of the region from the rise of Islam to the beginnings of modernization, with emphasis on the interplay of politics, religion, economy, and culture between 600 and
409	Foundations in Chemistry introduces the basic principles of chemistry and establishes the mathematical foundation necessary to succeed in the general chemistry course sequence. Course registration requires permission of instructor. 
410	A close reading of selections from Ancient Greek and Roman narratives and poetry as well as later works of literature that are influenced by myths, mythical themes, and archetypal figures drawn from these earlier works. This course traces the literary genealogy of mythical elements in later works such as The Inferno by Dante, Paradise Lost by John Milton, Antigone by Jean Anouilh, and Ulysses by Tennyson, among others. Special focus is given to these revisions as manifestations of changing cultural and historical perspectives.
411	Matrix Algebra has a wide application of uses in various business disciplines through applications of classical linear algebra techniques. The techniques demonstrated in this course will assist students in solving problems including multidimensional linear programming, assignment problems, Markov chains and stochastic processes, Leontif Economic Models and Cryptography. Calculations will be assisted via the use of R. Prerequisites: QBUS-110 and QBUS-120 or MATH-110 and MATH-120.
412	An examination of certain religious traditions as ways of understanding the development and practice of religion in America. The central focus is on the interaction between religion and American culture. Using a historical approach, the course examines mainstream religious traditions such as Judaism, Christianity, and Islam, as well as non-mainstream religious traditions, such as African American Religion and American Buddhism.
